,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
5666,Melonball (Spanish Style),8.1,13,1 oz Midori melon liqueur,1 oz Malibu rum,1 oz Pineapple juice,3 oz Orange juice,,
5667,French Connection #2,8.9,25,1 oz Cognac,1 oz Grand Marnier,,,,
5668,Fizzy Fuzzy Navel,8.9,20,1 1/2 oz Peach schnapps,2 oz Orange juice,Fill with Champagne,,,
5669,Pink Elephant,3.9,12,1 splash Grenadine,2 oz Gin,,,,
5670,Italian Soda #2,7.8,6,2 1/2 oz Chambord raspberry liqueur,Fill with Soda water,,,,
5671,Brain Candy,9.6,5,1 1/2 oz Alizé,1 oz Malibu rum,1 part Orange juice,1 part Pineapple juice,1 splash Grenadine,1 splash Ginger ale
5672,Cabana Club,9.9,23,1 shot Rum,1/2 part Coconut cream,1 part Pineapple juice,1 part Cranberry juice,1 dash Grenadine,
5673,Irish Hammer,8.4,8,1 part Jack Daniels,1 part Irish Mist,1 part Bailey's irish cream,,,
5674,Fontainebleau Sidecar,8.7,9,2 oz Bourbon,1/2 oz Triple sec,Juice of 1/2 Lemon,1 tsp Grand Marnier,,
5676,Blue Kamikaze,6.9,92,1 oz Vodka,1 oz Blue Curacao,1 oz Lime juice,Fill with Ice,,
5677,Astroturf,8.4,12,1 oz Green Creme de Menthe,1 oz Creme de Cacao,6 oz Milk,3 tsp Chocolate syrup,,
5678,Sneeky Sucker,8.4,7,2 oz Vodka,1/2 oz Cherry vodka,1/2 oz Lime juice,Juice of 1 small Lemon,6 oz Pink lemonade,4 oz Strawberry juice
5679,Goldfish,8.7,3,1 oz plain or Citrus vodka,1 oz Peach schnapps,2 wedges Mandarin,,,
5680,Mexican's Revenge,6.7,59,1 1/4 oz Tequila,1 1/4 oz Triple sec,Fill with Cranberry juice,,,
5681,Gingersnap,9.3,10,1 oz Kahlua,1 oz Bailey's irish cream,1 oz Frangelico,1 oz Jägermeister,Fill with Cola,
5682,Sex on Daytona Beach,8.4,11,1 oz Vodka,1 oz Peach schnapps,3 splashes Grenadine,1/4 oz Heavy cream,4 oz Pineapple juice,
5683,Fjellfinn,6.5,2,1 part Lakka,2 parts Vodka,,,,
5684,Placenta,4.0,4,1 oz Wildberry schnapps,1 splash Tequila Rose,,,,
5685,Mandarin Dream,7.2,12,1 3/4 oz Absolut Mandrin,1 splash Orange juice,1 splash Cranberry juice,1 slice Orange,,
5686,Sour Kiss,7.2,5,1/2 oz Bacardi Limon,1/2 oz Cheri Beri Pucker,1/2 oz Grape Pucker,1/4 oz Sugar syrup,1/2 oz Sour mix,1 splash Club soda
5687,Afterburner #3,5.8,169,1 oz Vodka,1/2 oz Triple sec,1 splash Grapefruit juice,Fill with Cranberry juice,,
5688,The Brett Schroeder,10.0,10,2 oz Vodka,1 oz Triple sec,1 oz Lemon juice,2 tsp Sugar,1 oz Watermelon liqueur,
5689,Goats Milk,9.8,12,1 bottle Vodka,1 fifth Watermelon schnapps,1 fifth Peachtree schnapps,1 gal watermelon Kool-Aid,2 L Sprite,10 tblsp Sugar
5690,Marianne,7.8,4,10-12 oz frozen Strawberries,10-12 oz frozen Raspberries,11 oz Apple juice,,,
5691,Matt's Tropical Punch,7.1,7,1 1/4 oz Rum,3/4 oz Peach schnapps,2 oz Grapefruit juice,2 oz Cranberry juice,,
5692,Coral Reef,6.3,7,1 1/2 oz Citrus vodka,3/4 oz Tequila,1 oz Blue Curacao,1 oz Sour mix,,
5693,Tampon String,5.7,12,1 oz Vodka,1 oz Cherry liqueur,Top with Whipped cream,,,
5694,The Kruzewski,9.7,7,2 oz Sprite,2 oz Orange juice,1 oz Orange soda,1 dash Lemon juice,,
5696,Guinness Punch,6.2,41,12 oz Guinness stout,1/2 cup sweetened Condensed milk,1/16  tsp (or less) Cinnamon,1/16  tsp (or less) Nutmeg,unsweetened Cocoa powder,
5697,Working Man's Zinfandel,3.4,5,1 shot Tequila,1 shot Scotch,1/2 shot Cinnamon schnapps,1/2 shot Peach schnapps,1 can Sprite,
5698,Caribbean Martini,6.5,60,1 1/2 oz Vanilla vodka,3/4 oz Malibu rum,1 splash Pineapple juice,,,
5699,Donkey Punch,8.6,26,3 parts Orange juice,2 parts Ginger ale,1 part Pineapple juice,1 part Light rum,1/4 part Grenadine,
5700,Sweedish Blow Job,8.0,7,1 oz Kahlua,1 dash Whipped cream,1/2 oz Cream soda,,,
5701,Waverunner,5.5,2,2 oz Absolut Citron,1 oz Sweet and sour,2 tblsp Sugar,2 wedges Lemon,1/2 oz Chambord raspberry liqueur,Top with 4 oz Champagne
5702,Hawaiian Volcano #2,8.9,34,3/4 oz Vodka,3/4 oz Southern Comfort,3/4 oz Amaretto,1 1/2 oz Orange juice,1 1/2 oz Pineapple juice,1 splash Grenadine
5703,No Regrets,6.5,8,1/2 oz Gold tequila,1/2 oz Bailey's irish cream,,,,
5704,Sex on the Grass,8.6,24,1 oz Vodka,1 oz Peach schnapps,1/2 oz Southern Comfort,1/2 oz Blue Curacao,1 oz Midori melon liqueur,
5705,Hurricane Laura,8.3,7,1 oz Dark rum,1 oz Passion fruit juice,1/2 oz Grenadine,1/2 oz Orange juice,,
5706,The Cornell,6.3,3,1 oz Vodka,1/2 oz Watermelon schnapps,1/2 oz Sour mix,Fill with Ice,1 splash Club soda,
5707,Verno,7.4,5,3 parts Harp Lager,1 part Spiced rum,,,,
5708,Baduizm,9.6,18,3/4 oz Rum,1/4 oz Limoncello,1/2 oz Condensed milk,,,
5709,Louie Louie,7.8,12,3 oz Southern Comfort,1 oz Vodka,1 oz Tia maria,,,
5710,Creme de Spooge,7.3,11,1 part Beer,1 part Cream soda,,,,
5711,78 Camaro,6.7,11,3/4 oz Yukon Jack,3/4 oz Rum,3/4 oz Apricot brandy,1 oz Pineapple juice,Top with Champagne,Crushed Ice
5712,Tropical Hibiscus,5.5,2,1 part Cranberry juice,1 part Orange juice,1 bottle Champagne,1 splash Pineapple juice,,
5713,The Green Mile,7.9,7,1 oz Melon liqueur,3/4 oz Malibu rum,1/4 oz Cointreau,3 oz Pineapple juice,,
5714,Cossak,9.0,9,1 shot Vodka,1 shot Kahlua,1 shot Godiva liqueur,2 cups Milk,,
5715,Peekaboo,5.3,3,2 shots Absolut Kurant,1 glass Orange juice,,,,
5716,Spanish Fly,8.4,7,1 part Butterscotch schnapps,1 part Coca-Cola,1 part Cherry liqueur,1 part Vanilla schnapps,,
5717,Under Kurant,8.2,13,1 oz Absolut Kurant,1 1/2 oz Blue Curacao,1 oz Pineapple juice,1/2 oz Chambord raspberry liqueur,,
5718,Mindfuck,4.2,9,2 oz Jack Daniels,2 oz Cactus Juice liqueur,Fill with Cola,,,
5719,Cranberry Frog,6.3,11,2 oz Orange juice,2 oz Cranberry juice,,,,
5720,Cranberry Toad,8.5,17,2 oz Orange juice,2 oz Cranberry juice,,,,
5721,Cranberry Newt,8.3,14,2 oz Orange juice,2 oz Cranberry juice,,,,
5722,Chihuahua,7.5,24,2 oz Tequila,Fill with Grapefruit juice,,,,
5724,Fury,5.4,7,1 part Vodka,1 part Spiced rum,1 splash Sour mix,2 parts Orange juice,,
5725,Sour Pussy,6.2,21,1 1/2 oz Southern Comfort,2 oz Sweet and sour,1 splash Lemon juice,,,
5726,Blueberry Kami,5.0,3,1 oz Blueberry schnapps,1 oz Vodka,1 oz Sweet and sour,1 dash Cream,,
5727,Enchantress,8.2,18,1 part Amaretto,1 part Creme de Cacao,1 part Triple sec,1 splash Grenadine,Fill with Milk,
5729,Canadian Manhattan,9.1,23,3 oz Canadian whisky,1 oz Sweet Vermouth,1 Cherry,,,
5730,Pink Flamingo #2,8.7,3,3 shots Vanilla schnapps,3 splashes Grenadine,A few splashes Orange juice,Crushed Ice,Fill with Cream,2 Cherries
5731,Formula 420,6.3,7,A few Ice,2 oz Seagram 7,1 oz Midori melon liqueur,,,
5732,Seven Veils,4.0,3,A few Ice,2 oz Seagram 7,1 oz Chambord raspberry liqueur,,,
5733,Cibola,8.8,5,A few Ice,2 oz Seagram 7,1 oz Goldschlager,Fill With 7-Up,,
5734,Black Unicorn,8.4,27,1 part Kahlua,1 part Butterscotch schnapps,1 part Irish cream,,,
5735,Redhead's Nipple,6.3,6,1 oz Vanilla schnapps,1 oz Irish cream,,,,
5736,Cockteaser,6.9,21,1 part Triple sec,1 part Peach schnapps,1 part Midori melon liqueur,,,
5737,EKG,6.5,4,1 part Godiva liqueur,1 part Kahlua,Small Ice,,,
5738,Mansion Mind Eraser,7.6,27,1 oz Kahlua,1 oz Bailey's irish cream,1 oz Rum,Fill with 7-Up,,
5739,Bat Bite,8.0,25,2 shots Spiced rum,Fill with Cranberry juice,1 splash Grenadine,,,
5740,Cherry Screwdriver,8.4,7,1 1/2 oz Cherry vodka,Fill with Orange juice,,,,
5741,Sweet Pea,6.6,9,1/2 glass Coconut rum,1/2 glass Apple juice,,,,
5742,Cinco de Mayo,7.8,20,2 1/2 oz añejo or white Tequila,1 oz Grenadine,1 oz Rose's sweetened lime juice,,,
5743,Golden Cadillac with White-Walled Tires,9.4,9,1 1/2 oz Vanilla vodka,1 1/2 oz White chocolate liqueur,1/2 oz Galliano,1 1/2 oz white Creme de Cacao,1 oz Cream,1 splash Sugar syrup
5744,Olive in an Olive,8.5,21,1/2 part Gold tequila,1/2 part red Sweet Vermouth,1 dash Blue Curacao,1 green Olive,,
5745,Kalabreeze,8.6,8,1/3 oz Cherry brandy,1/3 oz Apricot brandy,1/3 oz Triple sec,,,
5746,Wa-Hoo-Wa,4.5,11,1 oz Vodka,1/2 oz Blue Curacao,,,,
5747,Glicktail,6.5,6,1 tsp Sugar syrup,Juice of 1/2 Lemon,1 splash Ginger ale,1 1/2 oz Bourbon,,
5748,Tropical Clarkson,7.8,10,6 1/2 oz Hot chocolate,1 1/2 oz Kahlua,,,,
5749,Grovspol,7.8,10,4 cl Whiskey,3 cl Bailey's irish cream,3 cl Cointreau,,,
5750,Warm Woolly Sheep,7.6,11,1 shot Scotch,1 1/2 shot Drambuie,Fill with warm Milk,,,
5751,An Irish Kiss,9.6,23,3/4 oz Bailey's irish cream,3/4 oz Coffee liqueur,hot Coffee,,,
5753,The Hollywood,7.8,8,3/4 oz Vodka,3/4 oz Razzmatazz,Fill with Pineapple juice,,,
5754,Gold Record,7.3,6,1 oz Gold tequila,1 splash Lime juice,Fill with Orange juice,,,
5755,Dixieland Tea,8.0,19,2 oz Whiskey,1/2 oz Amaretto,Fill with Iced tea,,,
5756,T-Bone's Cough Syrup,6.4,5,1/4 oz Hot Damn,Almost 3/4 oz Grape soda,1-2 splash Maraschino cherry juice,,,
5757,Cafe Seattle,8.8,11,3/4 shot Bailey's irish cream,3/4 shot Absolut Vodka,1 oz Chocolate syrup,,,
5758,F-69,7.4,9,1/5 oz Dark rum,1/5 oz Kahlua,1/5 oz Amaretto,2/5 oz Bailey's irish cream,,
5759,Mr G,5.0,2,2-3 cl Licor 43,2-3 cl Vodka,4-5 cl Grenadine,Fill with Milk,,
5760,Chocolate Orange,6.5,13,1 1/2 oz Absolut Mandrin,1 1/2 oz white Creme de Cacao,,,,
5761,Chocolate Cake Shooter,6.4,640,1/2 shot Absolut Citron,1/2 shot Frangelico,1 wedge Lemon,,,
5762,Long Kiss Goodnight Martini,8.2,17,1/2 oz Vanilla vodka,1 oz Vodka,1/2 oz white Creme de Cacao,shaved white Chocolate,,
5763,Bermuda Triangle,6.1,370,1 1/2 oz Rum,2 oz Cranberry juice,2 oz Orange juice,,,
5764,Island Tide,1.0,1,3 shots Añejo rum,1 shot Bacardi Limon,Fill with Peach juice,1 - 2 splash Lemon juice,,
5765,Fruity Pebble,6.7,43,1 1/2 oz Vodka,1/2 oz Blue Curacao,1 dash Grenadine,1 part Milk,,
5766,Fuzzy Pusser,8.9,12,1 pint Rum,12 oz Orange juice,12 oz Grape soda,,,
5767,Godiva Chocolate Martini,6.6,73,1 1/2 shot Godiva liqueur,1 1/2 shot Creme de Cacao,1/2 shot Vodka,2 1/2 shots Half-and-half,,
5768,Georgia Pie,9.6,17,1/2 oz Peach schnapps,1/2 oz Southern Comfort,1/2 oz Malibu rum,1 1/2 oz Orange juice,Fill with Pineapple,1 dash Grenadine
5769,Red Mosquito,6.8,5,1 oz Vodka,1 oz Hot Damn,,,,
5770,Flying Moose,8.0,6,1/6 oz Melon liqueur,1/6 oz Rum,1/6 oz Vodka,1/3 oz Sprite,1/6 oz Grenadine,
5771,Italian Sunrise #2,6.5,2,6 oz Galliano,2 oz Banana liqueur,2 oz Triple sec,1/2 cup Cream,,
5772,Mean Green Love Making Machine,8.0,24,1 cup Orange juice,1 oz Vodka,1 oz Midori melon liqueur,1 oz Blue Curacao,,
5773,Mountain Sunrise,6.3,6,1 1/2 oz Tequila,1/2 oz Lime juice,1 splash Grenadine,3 oz Mountain Dew,,
5774,Cranberry Sunrise,7.1,13,1 oz Vodka,3 oz Cranberry juice,3 oz Orange juice,3 dashes Grenadine,,
5775,Vodka Sunrise,5.9,47,1 oz Vodka,5 oz Orange juice,1 shot Grenadine,,,
5776,Bayou Backwater,8.7,19,2 oz Southern Comfort,6 oz Lemonade,,,,
5777,Mandarin Metropolitan,6.8,6,1 1/2 oz Absolut Mandrin,2 oz Cranberry juice,1/2 oz Lime juice cordial,,,
5778,Mandarin Split,7.7,3,1 oz Absolut Mandrin,1 oz Strawberry schnapps,1/2 oz Creme de Banane,1 splash Grenadine,1 part Sprite,1 part Pineapple juice
5779,Deep South,7.8,6,2 shots Dark rum,1 tblsp Molasses,Fill with Pineapple juice,2 dashes Cherry syrup,Garnish with Pineapple,
5780,Bull Rider,8.6,9,1 oz Malibu rum,1 oz Coffee liqueur,1/2 oz Creme de Banane,2 splashes Jägermeister,Fill with Half-and-half,
5781,Midori 2000,9.5,19,1 oz Midori melon liqueur,1/2 oz Banana liqueur,1/2 oz Coconut rum,1/2 oz Blue Curacao,Top with Lemonade,
5782,Heartbreaker's Special,8.2,5,2 cl Vodka,2 cl Passoa,Fill with 1 part Pineapple juice,Fill with 1 part Orange juice,1 Orange,Crushed Ice
5783,Groader,5.0,2,1 1/2 part Kahlua,1 part Vodka,3 tblsp Chocolate syrup,2 1/2 parts White Creme de Menthe,1 part Water,
5784,Wynonna's Strawberry Delight,6.0,4,1 shot Sloe gin,4 oz Orange juice,2 oz strawberry Daiquiri mix,,,
5785,Almond Joy Dark,6.5,84,1 oz Malibu rum,1/2 oz Dark Creme de Cacao,1/2 oz Creme de Noyaux,Fill with Pineapple juice,,
5786,Knoxville Lemonade,5.0,1,1/2 shot Vodka,1/2 shot Peach schnapps,7 oz Lemonade,2 splashes Ginger ale,1 slice Orange,
5787,Peach May Cocktail,9.5,4,1 oz Banana liqueur,2 oz Peach schnapps,2 tblsp Apple juice,Fill with Pineapple juice,And 7-Up,
5788,Pink Cotton Candy,7.8,9,1 oz Vodka,1 oz Amaretto,Fill with Pink lemonade,,,
5790,Blue Skies,7.7,13,35 ml Cointreau,crushed Ice,35 ml Blue Curacao,Fill with Lemonade,,
5791,Mexican stand-off,9.0,9,1 cl Vodka,2 cl white Tequila,1 cl Passoa,,,
5792,Midnight Flight to Malibu,9.5,17,1 oz Blue Curacao,1 oz Creme de Banane,1 oz Malibu rum,Fill with Pineapple juice,,
5793,Sweet Satisfaction,7.9,9,1 oz Irish cream,1 oz Amaretto,1 oz Butterscotch schnapps,1 oz Coconut rum,,
5794,Deep Valley,7.0,6,3 cl Gin,2 cl Blue Curacao,1 cl Lemon juice,4 cl Pineapple juice,5 cl Soda water,
5795,The Game,8.9,10,1 oz Light rum,1/2 oz Triple sec,2 oz Cranberry juice,,,
5796,Shrewsbury Slammer,4.5,4,1/2 oz Southern Comfort,1/2 oz Peachtree schnapps,3/4 oz Apple cider,,,
5797,Summer Sky,5.5,2,Crushed Ice,2 shots Gin,1 shot Triple sec,Fill with Pineapple juice,1 splash Grenadine,
5798,Green Poison,8.0,1,1 1/2 oz Green Chartreuse,3 oz Gin,1 splash Lemon juice,,,
5799,Pink Millenium,10.0,1,2 cl Absolut Citron,2 cl Cranberry juice,1 cl Sugar syrup,Fill with Champagne,,
5801,Raspberry Release,8.5,6,3 oz Ginger ale,1 oz Chambord raspberry liqueur,,,,
5802,Kick yer Ass Sas,8.5,13,6 oz Sarsaparilla,2 shots Jägermeister,,,,
5803,Blue Lady,4.7,3,1 part Vodka,2 parts Dry Vermouth,1 part Peach schnapps,,,
5804,Hurricane #2,6.1,145,1 oz Vodka,1 oz Gin,1 oz Light rum,1/2 oz 151 proof rum,1 oz Amaretto,1 oz Triple sec
5805,White Tornado,8.3,11,3/4 oz Sambuca,1/4 oz Tequila Rose,,,,
5806,Bootzilla,6.5,43,1/2 oz Coconut rum,1/2 oz Melon liqueur,1/2 oz Raspberry liqueur,1/2 oz Peach schnapps,Fill with Pineapple juice,
5807,Dressed Up Pina Colada,9.5,4,3 oz Light rum,3 tblsp Coconut milk,3 tblsp crushed Pineapple,1 Maraschino cherry,,
5808,Fuzzy Watermelon,9.3,6,375 ml Peach schnapps,1 whole Watermelon,,,,
5809,My Wasted Generation,8.2,6,1/2 oz Melon liqueur,1/2 oz Peach schnapps,1/2 oz Coconut rum,1/2 oz Goldschlager,3 oz Pineapple juice,
5810,Buzzby,7.5,10,50 ml Vodka,50 ml Peach schnapps,50 ml White rum,100 ml Lemonade,75 ml Lime juice,
5811,Zadarade,7.0,7,1 oz Absolut Mandrin,1 oz Triple sec,1 oz Sour mix,1 splash Cranberry juice,1 splash Pineapple juice,1 splash Lemon-lime soda
5812,Red Rattlesnake,9.6,31,1/2 shot Amaretto,1/2 shot Southern Comfort,1/2 shot Triple sec,1 splash Grenadine,1 splash 7-Up,1 shot Sweet and sour
5813,Vodka Passion,6.4,5,1 part Absolut Mandrin,1 part Passion fruit syrup,,,,
5814,Tropic Heat,7.5,4,2 shots Vodka,2 shots Passion fruit syrup,Fill with Orange juice,1 chunk Pineapple,1 piece Cherry,
5815,Rusty Screw,9.5,6,1 1/2 oz Scotch,1/2 tsp Grand Marnier,1 Lemon peel,,,
5816,Crowbar,5.9,8,1/2 oz Crown Royal,1/2 oz 151 proof rum,1/2 oz Tequila,,,
5817,Greek Sex On The Beach,6.1,11,2 parts Vodka,1 1/2 part Bacardi Limon,2 parts Grenadine,2 1/2 parts Orange juice,1 part Gold tequila,1 part Southern Comfort
5818,ATP,7.6,18,1 part Southern Comfort,1 part Amaretto,,,,
5819,Italian Margarita,6.5,105,1 oz Amaretto,2 oz Sour mix,1/2 oz Tequila,1/2 oz Triple sec,,
5820,Cubano,6.8,10,1 part fresh Lime juice,1 1/2 part Cointreau,3 parts Jamaican Gold rum,1 Egg white,,
5823,The Reservoir Dog,6.7,61,1 part Jägermeister,1 part Bailey's irish cream,,,,
5824,Midori Sun,9.0,1,3 cl Gin,3 cl Midori melon liqueur,15 cl Orange juice,15 cl Pineapple juice,2 dashes Lemon-lime mix,
5825,Swedish pinkie,4.0,3,1 handful Ice,3 cl Absolut Kurant,6 cl Cranberry juice,6 cl Sour mix,,
5826,Chiquita,4.8,5,3 parts Vodka,2 parts Creme de Banane,12 parts Milk,,,
5829,Jeannie's Dream,8.9,10,2 oz Orange juice,2 oz Pineapple juice,2 oz 7-Up,2 shots Malibu rum,1 shot Sloe gin,
5830,Black Feather,8.3,10,4 parts Brandy,2 parts Dry Vermouth,1 part Cointreau,1 dash Angostura bitters,,
5831,Safe Sex on the Beach,7.3,14,3 oz Cranberry juice,3 oz Grapefruit juice,2 oz Peach nectar,,,
5832,Orange 43,10.0,1,1 part Licor 43,3 parts Orange juice,,,,
5833,Spanish Coffee,8.1,7,1 part Licor 43,2 parts hot Coffee,Ground Cinnamon,,,
5834,Leprechaun,5.4,5,2 oz Irish whiskey,Twist of Lemon peel,,,,
5835,Dancing Leprechaun,7.7,7,1 1/2 oz Irish whiskey,3/4 oz Drambuie,3/4 oz Lemon juice,Twist of Lemon peel,,
5836,Akis Special,6.5,127,2 cl Light rum,1 1/2 cl Banana liqueur,2 cl Lemon juice,Fill with Sprite,,
5837,Coco Cabana,9.6,20,4 cl Batida de Coco,2 cl White rum,8 cl Pineapple juice,,,
5838,Batida de Coco,8.5,8,1 part Cachaca,2 parts Coconut cream,,,,
5839,Red Hope,10.0,6,2 1/2 cl Gin,1 cl Creme de Banane,1/2 cl Apricot liqueur,10 cl sweetened Lemon juice,1 dash Strawberry syrup,
5840,Petite Fleur,8.4,7,1 part Grapefruit juice,2 parts Rum,1 part Cointreau,,,
5841,Whisky Melba,7.2,5,4 cl Scotch,12 cl dry Ginger ale,3-4 drops Angostura bitters,1 piece fresh Ginger,,
5842,Call of the Snowfields (Lumikenttien Kutsu),8.7,10,2 cl Lapponia Lakka,2 cl Parfait d'Amour,2 cl Cream,2 cl Pineapple juice,Sprinkle grated Nutmeg,
5843,Finlandia Coffee,8.5,4,2 cl Finladia Vodka,2 cl Lapponia Lakka,Float double Cream,,,
5844,Royal Temptation,6.7,6,4 parts Amaretto,3 parts Kahlua,2 parts Midori melon liqueur,1 part fresh double Cream,,
5845,Violetta,6.5,6,1 part Anis,1 part Parfait d'Amour,2 parts Pineapple juice,1 dash Grenadine,Fill with Soda water,
5846,Festrus,nan,0,1 part Vodka,1 part Grand Marnier,1 part Cinzano Bitters,1 Orange peel,,
5847,Green Hope,5.5,2,3 cl Vodka,1/2 cl Green Curacao,1/2 cl Creme de Banane,1/2 cl Grapefruit juice,1 1/2 cl Lemon juice,
5848,Magic Star,5.0,2,3 parts white Creme de Cacao,3 parts Pisang Ambon,2 parts Kiwi liqueur,2 parts Cream,1 dash Grenadine,
5849,Ramcooler,8.0,1,1 1/4 oz White rum,1/2 oz Galliano,2 oz Lime juice,Crushed Ice,,
5850,Rheingold,8.0,3,5 parts Gin,3 parts Cointreau,1 part Dry Vermouth,1 part Campari,Twist of Orange peel,
5851,Juicy Guiness Premier,7.8,4,1 shot Blue Curacao,1 shot Taboo,1 shot Vodka,1/2 pint Guinness stout,Fill With Carling Premier Lager,
5852,Buttsex,5.9,38,2 oz strong and black Coffee,1 oz Vodka,1 oz Triple sec,1/3 oz Lemon juice,Fill with Whipped cream,
5853,Flaming Lemon Drop,8.9,14,1 1/2 shot Absolut Citron,1 splash Galliano,1/2 slice Lemon,1/4 tsp Sugar,1/4 tsp 151 proof rum,
5854,Grüngeist,10.0,8,1 jigger Vodka,1 jigger Gin,1/2 jigger Green Creme de Menthe,Will with Grapefruit-lemon soda,And Ice,
5855,Jumanji,9.6,10,1 oz Cherry brandy,1 oz Taboo,1/2 oz Port,1 oz Grenadine,3 oz Pineapple juice,
5856,Bruja Mexicana,9.9,8,1/2 part Strega,1/2 part Tequila,Fill with Soda water,Crushed Ice,,
5857,Sir Francis,5.7,3,1/2 oz Raspberry vodka,1/2 oz Peach Vodka,1/2 oz Vanilla vodka,4 oz Lemonade,1/2 oz Grenadine,
5858,Emerald Eye,8.1,13,1 part Gin,1 part Midori melon liqueur,1 part Blue Curacao,,,
5859,Sex with the bartender,8.2,30,1/2 shot Coconut rum,1/2 shot Triple sec,1/2 shot Lime juice,1 splash Grenadine,Fill with 7-Up,1 splash Irish cream
5860,Undertow,7.8,11,1/2 shot Blue Curacao,1/2 shot Raspberry schnapps,,,,
5861,Curious Comfort,6.4,110,1 part Southern Comfort,2 parts Blue Curacao,3 parts Pineapple juice,1 handful Ice,,
5862,Iced Velvet,8.1,16,1 oz Canadian whisky,Fill with Iced tea,,,,
5863,Champagne Martini,6.3,145,2 parts Champagne,1 part Cointreau,,,,
5864,Blindside,6.7,3,2 oz Vodka,2 oz Orange juice,2 oz Grapefruit juice,1 oz Strawberry syrup,,
5865,Raggae Sunsplash,5.0,1,2 oz Gin,4 oz Pineapple juice,2 splashes Strawberry syrup,2 dashes green coconut Food coloring,,
5866,Resaca Water,10.0,1,1 oz Vodka,1 oz Rum,1 oz Watermelon liqueur,5 oz Pineapple juice,3 oz Orange juice,
5867,The Crown Cherry,9.2,5,1 1/2 oz Crown Royal,1 oz Cherry brandy,1/2 oz Cherry vodka,1 can Cherry Cola,,
5868,CA area 151,8.9,26,1 oz Amaretto,1 oz 151 proof rum,1 oz Sweet and sour,,,
5869,Ball and Chain,8.5,15,1 part Rumple Minze,1 part Goldschlager,1 splash Jägermeister,,,
5870,Ski Shooter,6.1,11,2 oz Vodka,2 oz Amaretto,3-5 oz Sweet and sour,4 Ice,,
5871,Skipper's Ripper,6.0,4,1 shot Malibu rum,1 shot Southern Comfort,1 splash Grenadine,1 can Coca-Cola,,
5872,Jamaican Bum,9.0,1,1 shot Malibu rum,1 shot Midori melon liqueur,1 shot Banana liqueur,Fill with 7-Up,1 shot Half-and-half,
5873,San Patricio,9.0,2,1/2 oz Kahlua,1/2 oz Bailey's irish cream,1 oz Cream,,,
5874,Breast Milk,8.8,16,1/2 oz White chocolate liqueur,1/3 oz Bailey's irish cream,1/3 oz Butterscotch schnapps,1 oz Half-and-half,,
5875,Tie Me To The Bedpost (Hawaiian),7.1,7,1 oz Absolut Citron,1 oz Coconut rum,1 oz Midori melon liqueur,1 splash Sweet and sour,1 splash 7-Up,
5876,Cina Polada,7.2,8,1 oz 151 proof rum,1 oz Banana liqueur,3 oz Pina colada mix,,,
5877,Blue Screw,6.7,10,1 1/2 oz Absolut Mandrin,1 oz Blue Curacao,Fill with Orange juice,,,
5878,Spritsor,5.8,4,2 oz Canadian whisky,Fill with Sprite,,,,
5879,California Rattle Snake,7.9,12,1/2 oz Malibu rum,1/2 oz Southern Comfort,1/2 oz Amaretto,1 splash Sour mix,1 splash 7-Up,1 splash Grenadine
5880,Gorilla Milk #2,8.5,17,1 oz Kahlua,3/4 oz Amaretto,3/4 oz Banana liqueur,Fill with Milk,,
5881,C*m Shot (B-Street Bar),7.2,11,Small pinch of Salt,3/4 oz Peach schnapps,3/4 oz Irish cream,Top with Whipped cream,,
5882,Temptress,6.4,11,1 1/4 oz Vodka,1 1/4 oz Grenadine,Fill with Ginger ale,,,
5883,Jack & Ginger,6.4,177,2 oz Jack Daniels,10 oz Ginger ale,,,,
5884,Bullvodka,6.4,274,2 shots Vodka,4 shots Red Bull,,,,
5885,Blue Diamond,9.2,14,3/4 shot Avalanche Peppermint schnapps,3/4 shot Goldschlager,,,,
5886,Jacobs Haze,9.8,8,2 cl Jägermeister,2 cl Absolut Kurant,1 can Red Bull,1 slice Kiwi,3 cubes Ice,
5887,Georgia Peach #2,8.8,16,3/4 oz Southern Comfort,1 oz Peach schnapps,4 oz Orange juice,1 dash Grenadine,,
5888,Martina Mandarina,9.4,5,1 part Absolut Mandrin,2 parts tangerine Cranberry juice,1 splash Grand Marnier,1 Orange peel,,
5889,Cinn's Stop Light,7.2,5,1/3 oz Melon liqueur,1/3 oz Grenadine,1/3 oz Irish cream,,,
5890,Beer Breezer,6.5,18,2 oz Vodka,12 oz Beer,2 dashes Tabasco sauce,1 pinch Celery salt,,
5891,Nappy Dugout,6.6,7,2 oz Vodka,1 1/2 oz Peach schnapps,1 oz Midori melon liqueur,3 oz 7-Up,,
5892,Murray's Cocktail,5.8,5,1 oz Spiced rum,1 oz Absolut Vodka,1/4 oz Absolut Citron,Fill with 7-Up,,
5893,Battering Ram,7.2,10,2 oz Vodka,2 oz Tequila,Fill with Battery,1 splash Lime juice,,
5894,Mocha Frappe,8.0,3,4 cups chilled Coffee,4 tblsp instant Chocolate milk,1 1/2 cup Milk,1/2 cup Whipped cream,4 scoops Vanilla or Chocolate ice-cream,
5895,Parrot Perch,8.9,7,1 1/2 oz Coconut rum,1/2 oz Triple sec,1 sliced Banana,3 oz fresh Orange juice,1 oz Banana syrup,
5896,Raging Bull #2,6.3,21,2 oz Vodka,2 oz Tequila,Fill with Red Bull,1 splash Lime juice,,
